-0.250000 0.061340 0.996972
0.250000 0.145595 0.996972
0.750000 0.250656 0.996972
1.250000 0.343984 0.996972
1.750000 0.397652 0.996972
2.250000 0.390792 0.996972
2.750000 0.341964 0.996972
3.250000 0.254985 0.996972
3.750000 0.199629 0.996972
4.250000 0.224125 0.996972
4.750000 0.337988 0.996972
5.250000 0.454336 0.996972
5.750000 0.553162 0.996972
6.250000 0.649151 0.996972
6.750000 0.752231 0.996972
7.250000 0.842608 0.996972
7.750000 0.889163 0.996972
8.250000 0.904649 0.996972
8.750000 0.818878 0.996972
9.250000 0.529082 0.996972
